TrackingNum,Vendor Name,District,Route,AssignedCourier,MasterCity,MasterPostalCode,LatestEventStatus,SignatureRequired,Weight(Lbs),Length(ft),Width(ft),Height(ft),Volume(ft),Head-Contractor,Director
MKS6271215345,Venus Logistics,M08,NIA20-L3M,Katniss Everdeen,GRIMSBY,L3M 0B9,Assigned to Delivery Load,FALSE,0.374785,0,0,1,0.084543,Mickey Mouse,Princess Leia
NLA2139524342,Jupiter Shipping,M05,COR171-K6A,Don Draper,HAWKESBURY,K6A 2R2,Returning to Seller,FALSE,,,,,,Bugs Bunny,Luke Skywalker
NLA2139451369,Jupiter Shipping,M05,COR171-K0B,Don Draper,VANKLEEK HILL,K0B 1R0,Assigned to Delivery Load,FALSE,,,,,,Bugs Bunny,Luke Skywalker
NLA2139730118,Jupiter Shipping,M05,MUS04-P0A,Optimus Prime,SOUTH RIVER,P0A 1X0,Assigned to Delivery Load,FALSE,3.439211,1,1,1,0.57635,James Bond,Luke Skywalker
NLA2139746462,Jupiter Shipping,M05,RNF08-K0J,Hercule Poirot,PALMER RAPIDS,K0J 2E0,Assigned to Delivery Load,FALSE,,,,,,Bugs Bunny,Luke Skywalker
NLA2139565213,Jupiter Shipping,M05,COR171-K0B,Don Draper,VANKLEEK HILL,K0B 1R0,Assigned to Delivery Load,FALSE,,,,,,Bugs Bunny,Luke Skywalker
NLA2139590977,Jupiter Shipping,M05,COR171-K6A,Don Draper,HAWKESBURY,K6A 2A3,Assigned to Delivery Load,FALSE,,,,,,Bugs Bunny,Luke Skywalker
NLA2139695633,Jupiter Shipping,M05,COR171-K6A,Don Draper,HAWKESBURY,K6A 2W7,Assigned to Delivery Load,FALSE,,,,,,Bugs Bunny,Luke Skywalker
NLA2139747579,Jupiter Shipping,M05,RNF01-K0J,Hercule Poirot,EGANVILLE,K0J 1T0,Assigned to Delivery Load,FALSE,,,,,,Bugs Bunny,Luke Skywalker
NLA2139638668,Jupiter Shipping,M05,COR171-K0B,Don Draper,VANKLEEK HILL,K0B 1R0,Assigned to Delivery Load,FALSE,,,,,,Bugs Bunny,Luke Skywalker
NLA2139787090,Jupiter Shipping,M05,RNF04-K0J,Hercule Poirot,CALABOGIE,K0J 1H0,Assigned to Delivery Load,FALSE,,,,,,Bugs Bunny,Luke Skywalker
NLA2301265848,Jupiter Shipping,M05,COR161-K0B,Don Draper,L'ORIGNAL,K0B 1K0,Assigned to Delivery Load,FALSE,,,,,,Bugs Bunny,Luke Skywalker
NLA2139849918,Jupiter Shipping,M05,RNF50-K7S,Hercule Poirot,ARNPRIOR,K7S 3G9,Delivered,FALSE,,,,,,Bugs Bunny,Luke Skywalker
